a iii  tonsillitis phlymonosa s b vii  ödema pulmonum  k ii  marasmus senilis	a iii  tonsillitis phlymonosa s b vii  ödema pulmonum  k ii  marasmus senilis	1	1	1	
a infarktus kordis  i k arteriosklerosis universalis	a infarktus kordis  i k arteriosklerosis universalis	1	1	1	
a infarktus kordis  i k arteriosklerosis universalis  ii nephritis khronika	a infarktus kordis  i k arteriosklerosis universalis  ii nephritis khronika	1	1	1	
a infarktus kordis  i k infarktus kordis	a infarktus kordis  i k infarktus kordis	1	1	1	
a insuffikentia kordis kum stasi  i k kardiosklerosis  ii st infarktum kordis	a insuffikentia kordis kum stasi  i k kardiosklerosis  ii st infarktum kordis	1	1	1	
a insuffikiante kordis  i k arteriosklerosis universalis	a insuffikiante kordis  i k arteriosklerosis universalis	1	1	1	
a insuffikientia kordis  i k morb alii kordis rheum	a insuffikientia kordis  i k morb alii kordis rheum	1	1	1	
a intarktus kordis  hjärtinfarkt k korarterio sklerotikum  ii gangruena senilis	a intarktus kordis  hjärtinfarkt k korarterio sklerotikum  ii gangruena senilis	1	1	1	
a iv  anaemia pernikiosa b iv  anaemia pernikiosa k dementia oligophrenia	a iv  anaemia pernikiosa b iv  anaemia pernikiosa k dementia oligophrenia	1	1	1	
a ix  aleas duodeni tarmsor b  aleas duodeni tarmsor	a ix  aleas duodeni tarmsor b  aleas duodeni tarmsor	1	1	1	
a kardiosklerosis b drainbasis art koron kordis	a kardiosklerosis b drainbasis art koron kordis	1	1	1	
a karkinoma bronkhi k  i a	a karkinoma bronkhi k  i a	1	1	1	
a karkinoma palatuiae e metastasis lymphogl kolli  i k karkinoma palatuiae e metastasis lymphogl kolli ii kardiosklerosis	a karkinoma palatuiae e metastasis lymphogl kolli  i k karkinoma palatuiae e metastasis lymphogl kolli ii kardiosklerosis	1	1	1	
a karkinoma ventrikuli  kräfta i magsäkken k karkinoma ventrikuli	a karkinoma ventrikuli  kräfta i magsäkken k karkinoma ventrikuli	1	1	1	
a karkinoma vesikal urinalis  i k karkinoma vesikal urinalis	a karkinoma vesikal urinalis  i k karkinoma vesikal urinalis	1	1	1	
a katarral lunginflamation  b hjärtmuskelsjukdom	a katarral lunginflamation  b hjärtmuskelsjukdom	1	1	1	
a katarral lunginflamation  b retentio urinae	a katarral lunginflamation  b retentio urinae	1	1	1	
a katarral lunginflamningen  b hjärtklaffel	a katarral lunginflamningen  b hjärtklaffel	1	1	1	
a kausa mort maledefinita k osteskondros	a kausa mort maledefinita k osteskondros	1	1	1	
a kikhosta  b lunginflamation	a kikhosta  b lunginflamation	1	1	1	
a kontensio kerebri  i a kompressio thoralis  i k kompressio thoralis rokade under traktor som välte	a kontensio kerebri  i a kompressio thoralis  i k kompressio thoralis rokade under traktor som välte	1	1	1	
a kontusio kranii et thoroeis  b  pneumonia krouposa k  arteriosklerosis  angina pektoris  vitium valvulae mitralis	a kontusio kranii et thoroeis  b  pneumonia krouposa k  arteriosklerosis  angina pektoris  vitium valvulae mitralis	1	1	1	
